# Moku:Go Oscilloscope
# Channel A (Input 1, on), DC, 30 MHz, 1 MOhm, 10 Vpp, 1 x probe attenuation
# Channel B (Input 2, off), DC, 30 MHz, 1 MOhm, 10 Vpp, 1 x probe attenuation
# Time span 320.6 us, time offset -160.6 us, Normal acquisition mode, no averaging
# Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
# Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
# Output 2 (off) - Square, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, duty cycle 50.00 %
# 
# Acquired 2026-04-28 T 13:20:10 -0700
# Time (s), Channel A (Input 1) (V)
3.200000000000e-07, -1.221300e-03
6.400000000000e-07, -1.221300e-03
9.600000000000e-07, -1.221300e-03
1.280000000000e-06, -1.221300e-03
1.600000000000e-06, 0.000000e+00
1.920000000000e-06, -1.221300e-03
2.240000000000e-06, -1.221300e-03
2.560000000000e-06, 0.000000e+00
2.880000000000e-06, -1.221300e-03
3.200000000000e-06, -1.221300e-03
3.520000000000e-06, 0.000000e+00
3.840000000000e-06, 0.000000e+00
4.160000000000e-06, -1.221300e-03
4.480000000000e-06, -1.221300e-03
4.800000000000e-06, -1.221300e-03
5.120000000000e-06, -1.221300e-03
5.440000000000e-06, 0.000000e+00
5.760000000000e-06, 0.000000e+00
6.080000000000e-06, -1.221300e-03
6.400000000000e-06, -1.221300e-03
6.720000000000e-06, -1.221300e-03
7.040000000000e-06, -1.221300e-03
7.360000000000e-06, 1.221300e-03
7.680000000000e-06, 0.000000e+00
8.000000000000e-06, 0.000000e+00
8.320000000000e-06, 0.000000e+00
8.640000000000e-06, -1.221300e-03
8.960000000000e-06, -1.221300e-03
9.280000000000e-06, -1.221300e-03
9.600000000000e-06, 0.000000e+00
9.920000000000e-06, 0.000000e+00
1.024000000000e-05, -1.221300e-03
1.056000000000e-05, -1.221300e-03
1.088000000000e-05, -1.221300e-03
1.120000000000e-05, -1.221300e-03
1.152000000000e-05, 0.000000e+00
1.184000000000e-05, 0.000000e+00
1.216000000000e-05, 1.221300e-03
1.248000000000e-05, -1.221300e-03
1.280000000000e-05, -1.221300e-03
1.312000000000e-05, -1.221300e-03
1.344000000000e-05, -1.221300e-03
1.376000000000e-05, -1.221300e-03
1.408000000000e-05, -1.221300e-03
1.440000000000e-05, -1.221300e-03
1.472000000000e-05, -1.221300e-03
1.504000000000e-05, -1.221300e-03
1.536000000000e-05, -1.221300e-03
1.568000000000e-05, -1.221300e-03
1.600000000000e-05, -1.221300e-03
1.632000000000e-05, 0.000000e+00
1.664000000000e-05, -1.221300e-03
1.696000000000e-05, -1.221300e-03
1.728000000000e-05, 0.000000e+00
1.760000000000e-05, 0.000000e+00
1.792000000000e-05, 1.221300e-03
1.824000000000e-05, 0.000000e+00
1.856000000000e-05, -1.221300e-03
1.888000000000e-05, 0.000000e+00
1.920000000000e-05, -1.221300e-03
1.952000000000e-05, 1.221300e-03
1.984000000000e-05, 1.221300e-03
2.016000000000e-05, 0.000000e+00
2.048000000000e-05, 0.000000e+00
2.080000000000e-05, -1.221300e-03
2.112000000000e-05, -1.221300e-03
2.144000000000e-05, -1.221300e-03
2.176000000000e-05, -1.221300e-03
2.208000000000e-05, 0.000000e+00
2.240000000000e-05, -1.221300e-03
2.272000000000e-05, -1.221300e-03
2.304000000000e-05, -1.221300e-03
2.336000000000e-05, 0.000000e+00
2.368000000000e-05, -1.221300e-03
2.400000000000e-05, -1.221300e-03
2.432000000000e-05, -1.221300e-03
2.464000000000e-05, -1.221300e-03
2.496000000000e-05, -1.221300e-03
2.528000000000e-05, -1.221300e-03
2.560000000000e-05, 0.000000e+00
2.592000000000e-05, 0.000000e+00
2.624000000000e-05, 0.000000e+00
2.656000000000e-05, -1.221300e-03
2.688000000000e-05, -1.221300e-03
2.720000000000e-05, -1.221300e-03
2.752000000000e-05, 0.000000e+00
2.784000000000e-05, 0.000000e+00
2.816000000000e-05, 1.221300e-03
2.848000000000e-05, 1.221300e-03
2.880000000000e-05, -1.221300e-03
2.912000000000e-05, -1.221300e-03
2.944000000000e-05, -1.221300e-03
2.976000000000e-05, -1.221300e-03
3.008000000000e-05, 0.000000e+00
3.040000000000e-05, -1.221300e-03
3.072000000000e-05, -1.221300e-03
3.104000000000e-05, -1.221300e-03
3.136000000000e-05, -1.221300e-03
3.168000000000e-05, -1.221300e-03
3.200000000000e-05, -1.221300e-03
3.232000000000e-05, -1.221300e-03
3.264000000000e-05, -1.221300e-03
