# Moku:Go Oscilloscope
# Channel A (Input 1, on), DC, 30 MHz, 1 MOhm, 10 Vpp, 1 x probe attenuation
# Channel B (Input 2, off), DC, 30 MHz, 1 MOhm, 10 Vpp, 1 x probe attenuation
# Time span 320.6 us, time offset -160.3 us, Normal acquisition mode, no averaging
# Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
# Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
# Output 2 (off) - Square, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, duty cycle 50.00 %
# 
# Acquired 2026-04-28 T 13:02:49 -0700
# Time (s), Channel A (Input 1) (V)
3.200000000000e-08, 2.039570e-01
3.520000000000e-07, 2.039570e-01
6.720000000000e-07, 2.051783e-01
9.920000000000e-07, 2.051783e-01
1.312000000000e-06, 2.063996e-01
1.632000000000e-06, 2.039570e-01
1.952000000000e-06, 2.039570e-01
2.272000000000e-06, 2.039570e-01
2.592000000000e-06, 2.039570e-01
2.912000000000e-06, 2.039570e-01
3.232000000000e-06, 2.039570e-01
3.552000000000e-06, 2.051783e-01
3.872000000000e-06, 2.051783e-01
4.192000000000e-06, 2.051783e-01
4.512000000000e-06, 2.051783e-01
4.832000000000e-06, 2.051783e-01
5.152000000000e-06, 2.051783e-01
5.472000000000e-06, 2.051783e-01
5.792000000000e-06, 2.051783e-01
6.112000000000e-06, 2.039570e-01
6.432000000000e-06, 2.063996e-01
6.752000000000e-06, 2.051783e-01
7.072000000000e-06, 2.051783e-01
7.392000000000e-06, 2.039570e-01
7.712000000000e-06, 2.039570e-01
8.032000000000e-06, 2.039570e-01
8.352000000000e-06, 2.051783e-01
8.672000000000e-06, 2.051783e-01
8.992000000000e-06, 2.051783e-01
9.312000000000e-06, 2.051783e-01
9.632000000000e-06, 2.027357e-01
9.952000000000e-06, 2.051783e-01
1.027200000000e-05, 2.039570e-01
1.059200000000e-05, 2.051783e-01
1.091200000000e-05, 2.051783e-01
1.123200000000e-05, 2.051783e-01
1.155200000000e-05, 2.051783e-01
1.187200000000e-05, 2.051783e-01
1.219200000000e-05, 2.039570e-01
1.251200000000e-05, 2.039570e-01
1.283200000000e-05, 2.039570e-01
1.315200000000e-05, 2.051783e-01
1.347200000000e-05, 2.039570e-01
1.379200000000e-05, 2.039570e-01
1.411200000000e-05, 2.039570e-01
1.443200000000e-05, 2.039570e-01
1.475200000000e-05, 2.039570e-01
1.507200000000e-05, 2.039570e-01
1.539200000000e-05, 2.051783e-01
1.571200000000e-05, 2.039570e-01
1.603200000000e-05, 2.039570e-01
1.635200000000e-05, 2.039570e-01
1.667200000000e-05, 2.039570e-01
1.699200000000e-05, 2.039570e-01
1.731200000000e-05, 2.027357e-01
1.763200000000e-05, 2.039570e-01
1.795200000000e-05, 2.039570e-01
1.827200000000e-05, 2.051783e-01
1.859200000000e-05, 2.039570e-01
1.891200000000e-05, 2.027357e-01
1.923200000000e-05, 2.051783e-01
1.955200000000e-05, 2.027357e-01
1.987200000000e-05, 2.039570e-01
2.019200000000e-05, 2.051783e-01
2.051200000000e-05, 2.051783e-01
2.083200000000e-05, 2.063996e-01
2.115200000000e-05, 2.039570e-01
2.147200000000e-05, 2.051783e-01
2.179200000000e-05, 2.051783e-01
2.211200000000e-05, 2.027357e-01
2.243200000000e-05, 2.051783e-01
2.275200000000e-05, 2.039570e-01
2.307200000000e-05, 2.039570e-01
2.339200000000e-05, 2.027357e-01
2.371200000000e-05, 2.039570e-01
2.403200000000e-05, 2.027357e-01
2.435200000000e-05, 2.039570e-01
2.467200000000e-05, 2.051783e-01
2.499200000000e-05, 2.039570e-01
2.531200000000e-05, 2.051783e-01
2.563200000000e-05, 2.039570e-01
2.595200000000e-05, 2.039570e-01
2.627200000000e-05, 2.039570e-01
2.659200000000e-05, 2.039570e-01
2.691200000000e-05, 2.027357e-01
2.723200000000e-05, 2.051783e-01
2.755200000000e-05, 2.039570e-01
2.787200000000e-05, 2.039570e-01
2.819200000000e-05, 2.039570e-01
2.851200000000e-05, 2.051783e-01
