% Moku:Go Frequency Response Analyzer
% Measurement mode: In / Out (dB)
% Channel 1 (on), DC, 30 MHz, 1 MOhm, 10 Vpp, amplitude 100 mVpp (on), offset 0.000 0 V (off), phase 0.000 deg
% Channel 2 (off), DC, 30 MHz, 1 MOhm, 10 Vpp, amplitude 100 mVpp (on), offset 0.000 0 V (off), phase 0.000 deg
% Logarithmic sweep from 20.00000 MHz to 10.00000 mHz with 512 pts, dynamic amplitude mode off, measuring fundamental, delay compensation 935.0 ns (auto), normalization off
% Averaging time 2.00 ms, 1 cycles; Settling time 100 us, 1 cycles
% 
% Acquired 2026-04-09 T 12:29:47 -0700
% Frequency (Hz), Channel 1 Magnitude (dB), Channel 1 Phase (deg)
2.00000000e+07, -1.9982e+01, -1.6805e+02
1.91791065e+07, -2.1117e+01, -1.2584e+02
1.83919063e+07, -2.2091e+01, -8.5648e+01
1.76370166e+07, -2.2814e+01, -4.7258e+01
1.69131110e+07, -2.3586e+01, -1.0465e+01
1.62189178e+07, -2.4431e+01, 2.4560e+01
1.55532176e+07, -2.5331e+01, 5.7808e+01
1.49148409e+07, -2.6257e+01, 8.9686e+01
1.43026661e+07, -2.7104e+01, 1.2047e+02
1.37156178e+07, -2.7905e+01, 1.4987e+02
1.31526648e+07, -2.8698e+01, 1.7805e+02
1.26128180e+07, -2.9407e+01, -1.5493e+02
1.20951290e+07, -3.0160e+01, -1.2902e+02
1.15986883e+07, -3.0844e+01, -1.0445e+02
1.11226239e+07, -3.1512e+01, -8.0660e+01
1.06660995e+07, -3.2285e+01, -5.8138e+01
1.02283129e+07, -3.2889e+01, -3.6632e+01
9.80849513e+06, -3.3439e+01, -1.6365e+01
9.40590865e+06, -3.3958e+01, 3.9952e+00
9.01984620e+06, -3.4546e+01, 2.2662e+01
8.64962955e+06, -3.5065e+01, 4.0649e+01
8.29460833e+06, -3.5690e+01, 5.7874e+01
7.95415883e+06, -3.6008e+01, 7.4231e+01
7.62768298e+06, -3.6719e+01, 8.9990e+01
7.31460722e+06, -3.7088e+01, 1.0478e+02
7.01438155e+06, -3.7591e+01, 1.1913e+02
6.72647855e+06, -3.7974e+01, 1.3257e+02
6.45039243e+06, -3.8570e+01, 1.4571e+02
6.18563817e+06, -3.9096e+01, 1.5770e+02
5.93175067e+06, -3.9599e+01, 1.7049e+02
5.68828390e+06, -4.0182e+01, -1.7849e+02
5.45481014e+06, -4.0486e+01, -1.6805e+02
5.23091924e+06, -4.0941e+01, -1.5785e+02
5.01621787e+06, -4.1512e+01, -1.4791e+02
4.81032884e+06, -4.1942e+01, -1.3849e+02
4.61289046e+06, -4.2293e+01, -1.2893e+02
4.42355588e+06, -4.2890e+01, -1.2081e+02
4.24199247e+06, -4.3132e+01, -1.1410e+02
4.06788127e+06, -4.3706e+01, -1.0462e+02
3.90091641e+06, -4.4253e+01, -9.8693e+01
3.74080457e+06, -4.4430e+01, -9.1472e+01
3.58726446e+06, -4.5248e+01, -8.4089e+01
3.44002636e+06, -4.5535e+01, -7.8364e+01
3.29883160e+06, -4.6000e+01, -7.2280e+01
3.16343214e+06, -4.5956e+01, -6.7032e+01
3.03359010e+06, -4.6625e+01, -6.1756e+01
2.90907738e+06, -4.7018e+01, -5.2635e+01
2.78967525e+06, -4.7362e+01, -4.9448e+01
2.67517394e+06, -4.7792e+01, -4.3045e+01
2.56537230e+06, -4.8256e+01, -3.9695e+01
2.46007743e+06, -4.8972e+01, -3.4988e+01
2.35910435e+06, -4.8631e+01, -3.3090e+01
2.26227568e+06, -4.9344e+01, -2.7316e+01
2.16942131e+06, -4.9257e+01, -2.7454e+01
2.08037812e+06, -4.9798e+01, -2.1904e+01
1.99498968e+06, -5.0089e+01, -1.7336e+01
1.91310598e+06, -5.0888e+01, -1.4634e+01
1.83458317e+06, -5.1166e+01, -1.3159e+01
1.75928330e+06, -5.1441e+01, -1.2726e+01
1.68707409e+06, -5.1402e+01, -8.2952e+00
1.61782869e+06, -5.1622e+01, -2.1447e+00
1.55142544e+06, -5.2301e+01, -7.4446e-01
1.48774768e+06, -5.2088e+01, -2.0157e+00
1.42668357e+06, -5.3200e+01, -3.8884e+00
1.36812580e+06, -5.3521e+01, 1.3840e+00
1.31197153e+06, -5.3393e+01, 5.1688e+00
1.25812208e+06, -5.3802e+01, 7.3078e+00
1.20648287e+06, -5.4291e+01, 2.0209e+00
1.15696318e+06, -5.3794e+01, 7.6975e+00
1.10947600e+06, -5.4185e+01, 8.3091e+00
1.06393792e+06, -5.4964e+01, 8.4084e+00
1.02026894e+06, -5.5860e+01, 1.4243e+01
9.78392329e+05, -5.6223e+01, 5.7677e+00
9.38234535e+05, -5.5871e+01, 1.2784e+01
8.99725005e+05, -5.5933e+01, 8.7654e+00
8.62796085e+05, -5.6751e+01, 1.6595e+01
8.27382901e+05, -5.7322e+01, 1.6153e+01
7.93423240e+05, -5.9408e+01, 1.4046e+01
7.60857442e+05, -5.7952e+01, 1.2891e+01
7.29628296e+05, -5.9071e+01, 1.1626e+01
6.99680941e+05, -5.8449e+01, 1.0830e+01
6.70962765e+05, -5.9865e+01, 7.2827e+00
6.43423317e+05, -6.0199e+01, 1.4894e+01
6.17014217e+05, -5.8024e+01, 7.2227e+00
5.91689069e+05, -5.7787e+01, 6.9272e+00
5.67403385e+05, -5.8875e+01, 1.3446e+00
5.44114498e+05, -5.8648e+01, 5.9846e+00
5.21781496e+05, -5.8875e+01, -7.4786e-01
5.00365144e+05, -5.7608e+01, -1.6006e+00
4.79827820e+05, -5.8083e+01, -1.2808e+01
4.60133444e+05, -5.5578e+01, -2.5765e+01
4.41247417e+05, -5.3537e+01, -1.5665e+01
4.23136560e+05, -5.1268e+01, 5.0187e+00
4.05769058e+05, -5.2820e+01, 3.1729e+01
